ID,X,Y,Z,E
1001,-8.75085,-21.5491,18.6,3.34099
1001,14.0441,-6.87541,18.6,3.78941
1001,11.1229,-10.8507,18.6,3.98216
1001,-9.9808,18.1002,18.6,4.70439
1001,9.55405,5.62574,18.6,3.32969
1001,-5.26029,12.6249,18.6,3.67879
1001,6.94143,18.6515,18.6,3.96291
1001,-7.08371,21.2662,18.6,3.50116
1001,-18.8214,7.11393,18.6,7.19642
1001,-1.86686,18.7365,18.6,0.96476
1001,-16.6867,-10.2012,18.6,3.5699
1001,-16.0982,14.3387,18.6,7.35159
1001,-15.5086,-0.0716863,18.6,0.341657
1001,3.64369,19.1254,18.6,4.64385
1001,18.1118,-11.1643,18.6,3.46387
1001,22.7806,-13.5463,18.6,4.02686
1001,-10.2286,6.40503,18.6,3.79958
1001,10.1605,2.83606,18.6,3.33677
1001,14.6848,-2.23193,18.6,2.71685
1001,6.27562,9.08415,18.6,3.8949
1001,-22.7857,11.3089,18.6,4.27851
1001,-12.3189,15.8372,18.6,4.09562
1001,-21.7723,8.1261,18.6,0.446381
1001,-19.3868,23.527,18.6,3.71225
1001,7.37382,9.13076,18.6,0.782035
1001,0.516423,10.8866,18.6,3.61456
1001,-11.717,17.5701,18.6,7.56596
1001,-18.4697,1.55104,18.6,3.93343
1001,-15.2534,-7.9312,18.6,4.62892
1001,-19.7429,9.71979,18.6,3.89838
1001,8.01569,-16.0647,18.6,3.77368
1001,-2.13141,16.0055,18.6,3.9242
1001,-13.7434,17.4467,18.6,3.5486
1001,-13.3468,-10.9517,18.6,9.24261
1001,-4.89146,16.7135,18.6,4.04932
1001,11.6113,1.25389,18.6,1.26779
1001,15.3397,-9.26729,18.6,3.71969
1001,10.7764,6.77401,18.6,4.38565
1001,-7.7966,13.2029,18.6,3.49582
1001,-13.9722,-6.34387,18.6,4.05561
1001,2.43184,1.70741,18.6,6.8937
1001,14.7821,6.19536,18.6,3.59857
1001,13.7138,-1.38748,18.6,4.71158
1001,-10.8196,5.59461,18.6,1.60196
1001,3.00401,4.24257,18.6,3.96002
1001,16.161,-7.55121,18.6,8.30106
1001,-9.51765,12.0945,18.6,4.16394
1001,-23.744,20.4207,18.6,3.45369
1001,-16.2428,-2.13659,18.6,3.75436
1001,-5.46062,2.77495,18.6,3.16383
1001,-0.350437,18.4827,18.6,3.7193
1001,-21.5868,7.24662,18.6,3.64877
1001,0.579274,-14.0136,18.6,4.08527
1001,23.6757,-7.20461,18.6,4.13337
1001,-6.46907,18.4738,18.6,4.01387
1001,-10.6166,-6.58201,18.6,4.12971
1001,13.8151,10.0792,18.6,3.68109
1001,-11.1026,10.0258,18.6,3.5121
1001,-17.5142,-15.633,18.6,3.72158
1001,3.56617,6.91717,18.6,3.65559
1001,-5.07722,-20.4098,18.6,3.89779
1001,1.84337,8.22765,18.6,3.82606
1001,-4.77107,-21.2951,18.6,3.51869
1001,-15.5906,1.8183,18.6,3.38375
1001,11.6629,-7.85939,18.6,3.73399
1001,-16.8452,16.6553,18.6,3.69946
1001,12.872,-2.77402,18.6,4.02952
1001,-19.5527,18.1341,18.6,9.9218
1001,-15.9779,2.0498,18.6,4.48792
1001,-10.4518,18.876,18.6,2.09133
1001,-4.29495,5.19486,18.6,3.76644
1001,-10.7746,-15.1732,18.6,3.52964
1001,-3.35743,20.2213,18.6,4.04485
1001,22.0438,0.858915,18.6,4.02217
1001,-7.85461,-3.35345,18.6,3.22139
1001,-14.5048,23.4503,18.6,4.11907
1001,4.89336,-12.073,18.6,6.56494
1001,-15.4279,21.5925,18.6,3.07991
1001,13.5155,-1.01587,18.6,10.2629
1001,-5.94958,0.172968,18.6,3.95784
1001,17.2096,-8.69477,18.6,3.76917
1001,23.5751,-2.8414,18.6,3.87288
1001,3.20627,-18.5466,18.6,3.21833
1001,14.5628,-6.67129,18.6,5.9066
1001,-17.503,20.7076,18.6,3.74864
1001,-0.279342,4.68381,18.6,3.34369
1001,-7.117,14.3211,18.6,3.67202
1001,-17.8149,4.20538,18.6,3.52686
1001,-10.0174,-23.509,18.6,2.73443
1001,21.8897,-22.5355,18.6,3.80765
1001,13.158,-2.56195,18.6,6.69255
1001,16.3312,-3.59253,18.6,8.66697
1001,22.953,13.3904,18.6,4.5008
1001,-18.7589,18.0815,18.6,6.16627
1001,-1.88992,-10.7228,18.6,9.67287
1001,7.74103,10.3904,18.6,3.86539
1001,5.54909,2.3834,18.6,0.96807
1001,1.64946,23.9158,18.6,3.93563
1001,15.3561,-8.46162,18.6,4.10199
1001,-5.26461,-0.82625,18.6,3.89148
1001,-23.6311,4.71581,18.6,3.2875
1001,22.8644,5.30523,18.6,2.95747
1001,-17.3724,13.9982,18.6,4.08336
1001,11.8743,13.9415,18.6,4.07633
1001,10.3214,8.79273,18.6,4.35894
1001,7.80201,-1.71115,18.6,0.912391
1001,-5.20969,-10.5275,18.6,3.79666
1001,18.27,1.43055,18.6,3.80741
1001,-21.9364,4.06299,18.6,4.02986
1001,20.8409,5.80325,18.6,3.9565
1001,-6.5118,-9.56082,18.6,4.06027
1001,-10.2491,23.0704,18.6,4.2159
1001,-2.25804,-9.73741,18.6,3.34276
1001,-7.16415,-17.6945,18.6,3.73458
1001,5.09724,-14.862,18.6,4.29572
1001,0.588071,-21.5268,18.6,3.68643
1001,10.3152,-22.2546,18.6,3.65101
1001,-10.5371,-1.79476,18.6,3.39843
1001,-8.18057,-15.5593,18.6,3.65198
1001,3.41399,-2.17742,18.6,4.03781
1001,-11.362,23.7026,18.6,4.3665
1001,23.7291,15.7056,18.6,3.993
1001,-9.69647,-12.6753,18.6,2.71337
1001,-18.641,-16.1789,18.6,3.66135
1001,15.453,-10.1698,18.6,3.76433
1001,5.03602,-17.8354,18.6,3.13992
1001,-8.91686,3.85386,18.6,3.55064
1001,1.98677,6.81155,18.6,3.29018
1001,-14.5547,0.184597,18.6,3.99882
1001,-3.18035,-8.67627,18.6,3.8353
1001,-15.0658,0.079393,18.6,3.42379
1001,2.84594,-4.37564,18.6,3.66481
1001,18.3997,-14.7114,18.6,6.2482
1001,-3.17196,-14.021,18.6,2.88942
1001,-16.8913,9.19389,18.6,0.502121
1001,-0.358526,-6.44385,18.6,3.43069
1001,-18.0993,-13.813,18.6,3.57511
1001,-17.95,18.7748,20.2661,3.53346
1001,12.1937,-5.14916,18.6,4.27718
1001,-7.25247,22.2042,18.6,3.49418
1001,20.577,-1.60442,18.6,3.53229
1001,17.312,-3.46593,18.6,5.83149
1001,10.7426,10.9236,18.6,2.93525
1001,19.3712,-19.2343,18.6,3.72907
1001,8.56447,-9.75852,18.6,3.54435
1001,10.2294,5.93817,18.6,0.568378
1001,-5.93519,11.1402,18.6,3.51149
1001,-20.4291,-14.4726,18.6,2.84915
1001,0.352426,13.0977,18.6,3.35827
1001,-13.9363,6.77569,18.6,3.64781
1001,2.84106,-10.1682,18.6,3.58533
1001,15.1268,-4.27004,18.6,3.58817
1001,-6.94468,-15.1626,18.6,3.96897
1001,-3.30728,1.47518,18.6,3.67617
1001,10.4098,-21.4996,18.6,3.26607
1001,-21.6024,-13.2017,18.6,3.51579
