event,sensor_id,amplitude
186,27,417
186,16,345
186,62,468
186,25,383
186,53,751
186,28,393
186,35,582
186,10,384
186,23,352
186,39,370
186,26,372
186,49,681
186,54,504
186,40,462
186,52,1127
186,41,600
186,61,665
186,18,373
186,38,396
186,14,370
186,32,370
186,60,1102
186,6,342
186,63,353
186,47,404
186,4,362
186,48,450
186,2,388
186,58,1027
186,20,411
186,19,346
186,42,803
186,55,358
186,43,923
186,15,316
186,11,376
186,33,450
186,0,300
186,45,657
186,56,412
186,9,383
186,44,790
186,34,539
186,51,1267
186,24,365
186,31,347
186,12,377
186,29,384
186,50,1070
186,5,328
186,36,583
186,3,373
186,57,652
186,21,362
186,8,322
186,37,480
186,22,357
186,7,306
186,1,331
186,30,392
186,46,409
186,13,346
186,59,1316
186,17,371
124,34,703
124,36,637
124,42,711
124,33,623
124,37,595
124,50,684
124,15,339
124,26,604
124,40,540
124,52,739
124,41,646
124,28,592
124,61,554
124,31,435
124,51,731
124,59,586
124,23,378
124,11,454
124,25,562
124,56,487
124,35,670
124,55,497
124,54,580
124,13,428
124,44,734
124,18,523
124,12,477
124,8,361
124,5,393
124,6,348
124,63,422
124,21,498
124,16,403
124,45,596
124,2,372
124,30,500
124,38,525
124,29,578
124,49,591
124,19,548
124,10,455
124,46,584
124,27,640
124,32,561
124,4,410
124,20,504
124,53,616
124,47,483
124,3,381
124,62,465
124,14,424
124,24,493
124,7,308
124,9,395
124,58,617
124,43,736
124,48,466
124,57,546
124,39,436
124,22,477
124,60,572
124,17,459
124,0,305
124,1,343
62,9,615
62,1,468
62,50,588
62,21,378
62,59,376
62,38,392
62,33,1124
62,32,1102
62,39,409
62,61,344
62,11,421
62,8,596
62,20,391
62,51,466
62,37,375
62,41,871
62,22,350
62,16,851
62,54,365
62,56,415
62,44,399
62,28,460
62,48,587
62,34,844
62,43,562
62,42,708
62,26,867
62,58,415
62,23,355
62,3,375
62,63,299
62,18,747
62,10,545
62,12,413
62,30,397
62,35,586
62,24,1068
62,40,804
62,15,345
62,53,361
62,6,355
62,27,614
62,60,357
62,25,1198
62,62,341
62,13,335
62,57,445
62,14,380
62,29,364
62,2,448
62,0,406
62,4,333
62,17,822
62,19,565
62,36,454
62,7,289
62,46,390
62,5,365
62,47,366
62,31,362
62,52,388
62,45,384
62,49,588
62,55,336
31,5,349
31,39,516
31,42,681
31,63,395
31,16,328
31,1,348
31,54,638
31,37,757
31,44,947
31,57,430
31,58,516
31,59,581
31,55,464
31,62,497
31,41,577
31,22,464
31,14,372
31,56,336
31,30,543
31,18,476
31,15,372
31,60,626
31,36,912
31,34,694
31,43,844
31,47,500
31,20,537
31,2,341
31,27,671
31,48,422
31,25,472
31,35,778
31,29,646
31,50,595
31,4,367
31,28,663
31,51,778
31,33,510
31,40,449
31,17,453
31,31,448
31,61,574
31,19,563
31,13,434
31,11,445
31,53,773
31,52,783
31,46,660
31,24,378
31,45,782
31,8,330
31,9,336
31,26,574
31,6,321
31,49,575
31,38,592
31,21,521
31,12,453
31,10,400
31,23,382
31,0,302
31,32,427
31,3,319
31,7,326
93,63,615
93,41,503
93,52,637
93,44,659
93,61,599
93,57,447
93,13,449
93,16,376
93,56,339
93,53,761
93,62,679
93,46,698
93,10,434
93,51,599
93,3,381
93,36,681
93,59,589
93,60,637
93,24,410
93,12,444
93,26,453
93,35,658
93,32,411
93,27,535
93,11,438
93,25,464
93,54,698
93,23,476
93,33,430
93,29,593
93,48,385
93,6,397
93,18,450
93,58,482
93,28,605
93,15,429
93,19,501
93,40,369
93,1,344
93,45,750
93,9,391
93,14,429
93,21,525
93,39,598
93,47,689
93,55,648
93,42,572
93,7,360
93,8,341
93,43,586
93,50,563
93,34,518
93,49,471
93,17,427
93,38,633
93,31,550
93,20,476
93,22,497
93,4,373
93,30,582
93,2,405
93,37,666
93,0,321
93,5,390
217,25,447
217,57,1196
217,13,406
217,39,384
217,49,1142
217,19,406
217,24,419
217,40,799
217,54,400
217,51,617
217,0,333
217,56,1079
217,28,408
217,34,572
217,38,413
217,23,392
217,41,894
217,3,349
217,59,600
217,2,375
217,16,359
217,33,649
217,37,416
217,36,453
217,10,388
217,5,361
217,1,339
217,52,448
217,12,381
217,14,365
217,48,1112
217,11,402
217,6,332
217,18,373
217,8,330
217,7,322
217,58,836
217,17,364
217,45,428
217,4,352
217,61,330
217,43,568
217,44,401
217,27,460
217,62,330
217,31,384
217,50,894
217,35,494
217,32,659
217,21,424
217,22,371
217,47,380
217,42,786
217,15,374
217,20,408
217,53,359
217,26,443
217,60,395
217,30,388
217,46,398
217,55,410
217,9,348
217,63,331
217,29,358
0,57,715
0,62,457
0,50,844
0,5,410
0,44,654
0,51,825
0,43,770
0,25,504
0,34,697
0,52,710
0,2,345
0,39,403
0,48,595
0,8,378
0,0,319
0,38,469
0,21,435
0,13,390
0,58,772
0,4,383
0,11,441
0,33,615
0,36,605
0,42,728
0,59,785
0,3,373
0,60,622
0,35,608
0,56,575
0,49,782
0,17,405
0,46,520
0,15,366
0,40,600
0,24,409
0,31,389
0,41,692
0,32,568
0,53,545
0,19,472
0,47,407
0,27,536
0,55,432
0,26,554
0,10,406
0,14,400
0,16,394
0,63,362
0,18,479
0,61,511
0,29,454
0,7,327
0,12,393
0,37,539
0,54,504
0,23,389
0,22,428
0,45,574
0,30,423
0,20,475
0,1,399
0,9,410
0,28,505
0,6,347
155,1,930
155,12,542
155,28,489
155,3,626
155,6,333
155,50,397
155,39,386
155,21,420
155,14,359
155,56,298
155,36,442
155,11,680
155,34,536
155,0,870
155,15,345
155,35,526
155,8,895
155,43,408
155,32,509
155,5,418
155,9,1004
155,48,343
155,2,796
