event,sensor_id,time,charge
186,27,0,417
186,16,0,344
186,16,1,1
186,62,0,466
186,62,1,2
186,25,0,382
186,25,1,1
186,53,0,751
186,28,0,388
186,28,1,5
186,35,0,582
186,10,0,383
186,10,1,1
186,23,0,351
186,23,1,1
186,39,0,369
186,39,1,1
186,26,0,371
186,26,1,1
186,49,0,678
186,49,1,3
186,54,0,503
186,54,1,1
186,40,0,459
186,40,1,3
186,52,0,1126
186,52,1,1
186,41,0,599
186,41,1,1
186,61,0,665
186,18,0,373
186,38,0,395
186,38,1,1
186,14,0,368
186,14,1,2
186,32,0,370
186,60,0,1102
186,6,0,342
186,63,0,352
186,63,1,1
186,47,0,403
186,47,1,1
186,4,0,360
186,4,1,2
186,48,0,449
186,48,1,1
186,2,0,386
186,2,1,2
186,58,0,1022
186,58,1,5
186,20,0,409
186,20,1,2
186,19,0,343
186,19,1,3
186,42,0,801
186,42,1,2
186,55,0,357
186,55,1,1
186,43,0,922
186,43,1,1
186,15,0,316
186,11,0,376
186,33,0,449
186,33,1,1
186,0,0,299
186,0,1,1
186,45,0,654
186,45,1,3
186,56,0,412
186,9,0,381
186,9,1,2
186,44,0,790
186,34,0,537
186,34,1,2
186,51,0,1265
186,51,1,2
186,24,0,364
186,24,1,1
186,31,0,347
186,12,0,377
186,29,0,382
186,29,1,2
186,50,0,1066
186,50,1,4
186,5,0,328
186,36,0,581
186,36,1,2
186,3,0,371
186,3,1,2
186,57,0,652
186,21,0,362
186,8,0,322
186,37,0,478
186,37,1,2
186,22,0,354
186,22,1,3
186,7,0,306
186,1,0,330
186,1,1,1
186,30,0,390
186,30,1,2
186,46,0,407
186,46,1,2
186,13,0,346
186,59,0,1316
186,17,0,370
186,17,1,1
124,34,0,703
124,36,0,635
124,36,1,2
124,42,0,711
124,33,0,620
124,33,1,3
124,37,0,593
124,37,1,2
124,50,0,682
124,50,1,2
124,15,0,339
124,26,0,603
124,26,1,1
124,40,0,539
124,40,1,1
124,52,0,737
124,52,1,2
124,41,0,645
124,41,1,1
124,28,0,592
124,61,0,551
124,61,1,3
124,31,0,435
124,51,0,729
124,51,1,2
124,59,0,586
124,23,0,377
124,23,1,1
124,11,0,454
124,25,0,561
124,25,1,1
124,56,0,486
124,56,1,1
124,35,0,670
124,55,0,496
124,55,1,1
124,54,0,577
124,54,1,3
124,13,0,426
124,13,1,2
124,44,0,731
124,44,1,3
124,18,0,522
124,18,1,1
124,12,0,477
124,8,0,361
124,5,0,392
124,5,1,1
124,6,0,348
124,63,0,420
124,63,1,2
124,21,0,498
124,16,0,403
124,45,0,595
124,45,1,1
124,2,0,371
124,2,1,1
124,30,0,500
124,38,0,524
124,38,1,1
124,29,0,576
124,29,1,2
124,49,0,591
124,19,0,547
124,19,1,1
124,10,0,455
124,46,0,583
124,46,1,1
124,27,0,639
124,27,1,1
124,32,0,559
124,32,1,2
124,4,0,408
124,4,1,2
124,20,0,501
124,20,1,3
124,53,0,614
124,53,1,2
124,47,0,483
124,3,0,380
124,3,1,1
124,62,0,465
124,14,0,424
124,24,0,493
124,7,0,308
124,9,0,394
124,9,1,1
124,58,0,616
124,58,1,1
124,43,0,734
124,43,1,2
124,48,0,464
124,48,1,2
124,57,0,546
124,39,0,436
124,22,0,476
124,22,1,1
124,60,0,568
124,60,1,4
124,17,0,456
124,17,1,3
124,0,0,305
124,1,0,342
124,1,1,1
62,9,0,615
62,1,0,467
62,1,1,1
62,50,0,585
62,50,1,3
62,21,0,376
62,21,1,2
62,59,0,375
62,59,1,1
62,38,0,392
62,33,0,1123
62,33,1,1
62,32,0,1101
62,32,1,1
62,39,0,409
62,61,0,344
62,11,0,421
62,8,0,596
62,20,0,390
62,20,1,1
62,51,0,465
62,51,1,1
62,37,0,375
62,41,0,870
62,41,1,1
62,22,0,350
62,16,0,849
62,16,1,2
62,54,0,365
62,56,0,415
62,44,0,398
62,44,1,1
62,28,0,460
62,48,0,586
62,48,1,1
62,34,0,843
62,34,1,1
62,43,0,562
62,42,0,706
62,42,1,2
62,26,0,864
62,26,1,3
62,58,0,415
62,23,0,353
62,23,1,2
62,3,0,375
62,63,0,297
62,63,1,2
62,18,0,747
62,10,0,544
62,10,1,1
62,12,0,411
62,12,1,2
62,30,0,397
62,35,0,585
62,35,1,1
62,24,0,1066
62,24,1,2
62,40,0,803
62,40,1,1
62,15,0,345
62,53,0,361
62,6,0,354
62,6,1,1
62,27,0,612
62,27,1,2
62,60,0,356
62,60,1,1
62,25,0,1197
62,25,1,1
62,62,0,339
62,62,1,2
62,13,0,335
62,57,0,445
62,14,0,379
62,14,1,1
62,29,0,364
62,2,0,446
62,2,1,2
62,0,0,405
62,0,1,1
62,4,0,331
62,4,1,2
62,17,0,821
